   Value:      BST:      AVL:    Splay: 
      1379      1379         7         1
      1380      1380         9         1
      1381      1381         8         1
      1382      1382         9         1
      1383      1383         6         1
      1384      1384         9         1
      1385      1385         8         1
      1386      1386         9         1
      1387      1387         7         1
      1388      1388         9         1
      1389      1389         8         1
      1390      1390         9         1
      1391      1391         5         1
      1392      1392         9         1
      1393      1393         8         1
      1394      1394         9         1
      1395      1395         7         1
      1396      1396         9         1
      1397      1397         8         1
      1398      1398         9         1
      1399      1399         6         1
      1400      1400         9         1
      1401      1401         8         1
      1402      1402         9         1
      1403      1403         7         1
      1404      1404         9         1
      1405      1405         8         1
      1406      1406         9         1
      1407      1407         2         1
      1408      1408        10         1
      1409      1409         9         1
      1410      1410        10         1
      1411      1411         8         1
      1412      1412        10         1
      1413      1413         9         1
      1414      1414        10         1
      1415      1415         7         1
      1416      1416        10         1
      1417      1417         9         1
      1418      1418        10         1
      1419      1419         8         1
      1420      1420        10         1
      1421      1421         9         1
      1422      1422        10         1
      1423      1423         6         1
      1424      1424        10         1
      1425      1425         9         1
      1426      1426        10         1
      1427      1427         8         1
      1428      1428        10         1
      1429      1429         9         1
      1430      1430        10         1
      1431      1431         7         1
      1432      1432        10         1
      1433      1433         9         1
      1434      1434        10         1
      1435      1435         8         1
      1436      1436        10         1
      1437      1437         9         1
      1438      1438        10         1
      1439      1439         5         1
      1440      1440        10         1
